cell_label,atoms_in_cell
497150275026,1
497249904992,6
497249904993,26
497249904994,2
497249914991,3
497249914992,10
497249914993,10
497249914994,3
497249914995,5
497249914996,5
497249924992,3
497249924996,3
497249924997,21
497249924998,2
497249934991,3
497249934992,8
497249934996,2
497249934997,33
497249934998,3
497249944997,2
497249944998,5
497249954997,5
497249954998,16
497249954999,8
497249964998,1
497249964999,2
497249965000,2
497250085019,9
497250085020,1
497250105020,3
497250105021,2
497250115020,1
497250115021,2
497250115022,10
497250125021,1
497250125022,1
497250165023,1
497250165024,8
497250165025,5
497250175021,1
497250175022,1
497250175023,4
497250175024,4
497250175025,8
497250175026,5
497250175027,7
497250175028,3
497250185021,3
497250185022,19
497250185023,14
497250185024,2
497250185025,11
497250185026,3
497250185028,4
497250195019,1
497250195020,6
497250195021,9
497250195022,30
497250195023,24
497250195024,2
497250195025,7
497250195026,2
497250195027,4
497250205022,10
497250205023,10
497250205024,3
497250215024,4
497250215025,2
497250225027,1
497250245026,4
497250245027,1
497250255027,1
497250265026,4
497250265027,6
497250275026,5
497250275027,8
497349924992,9
497349924995,1
497349924997,3
497349934996,6
497349934997,18
497349934998,1
497349944997,1
497350115021,1
497350145025,8
497350145026,2
497350155023,3
497350155024,9
497350155025,12
497350155026,4
497350165023,1
497350165024,15
497350165025,34
497350165026,4
497350165029,9
497350175021,2
497350175022,2
497350175023,2
497350175024,2
497350175025,11
497350175026,2
497350175027,3
497350175028,10
497350175029,10
497350175030,1
497350185021,11
497350185022,40
497350185023,21
497350185024,3
497350185025,4
497350185026,9
497350185027,10
497350185028,11
497350185029,1
497350195021,4
497350195022,12
497350195023,23
497350195024,8
497350195025,32
497350195026,27
497350195027,11
497350195028,13
497350195029,4
497350205022,3
497350205023,3
497350205024,5
497350205025,7
497350205026,5
497350205027,7
497350205028,4
497350205029,1
497350215023,1
497350215024,6
497350215025,4
497350215026,3
497350215027,5
497350215028,3
497350225024,1
497350225025,1
497350225026,1
497350225027,9
497350225028,1
497350235026,10
497350235027,5
497350245026,3
497350245027,2
497350255027,4
497350265026,14
497350265027,11
497350275026,4
497350275027,13
497449904994,4
497449904995,5
497449914994,4
497449914995,5
497449924994,4
497449924995,10
497449924996,1
497449924997,9
497449934996,3
497449934997,8
497449934998,2
497450145025,2
497450155023,1
497450155024,6
497450155025,21
497450155026,2
497450165023,3
497450165025,3
497450165026,10
497450165029,1
497450165030,1
497450175022,9
497450175023,6
497450175024,7
497450175025,6
497450175029,11
497450175030,1
497450185021,6
497450185022,27
497450185023,13
497450185024,8
497450185025,9
497450185026,4
497450185028,7
497450185029,2
497450195021,6
497450195022,19
497450195023,16
497450195024,3
497450195025,1
497450195026,3
497450195027,3
497450195028,5
497450195029,3
497450205022,10
497450205023,2
497450205024,5
497450205026,3
497450205027,4
497450215026,2
497450225026,2
497450225027,1
497450235026,1
497450235027,1
497450255027,4
497450265026,5
497450265027,4
497450265028,3
497450275027,1
497450275028,4
497549904994,3
497549904995,1
497549914994,5
497549914995,2
497549914996,1
497549914997,5
497549924996,1
497549924997,2
497549934996,1
497550165023,1
497550165025,2
497550175022,9
497550175023,9
497550175024,9
497550175025,8
497550185023,5
497550185024,1
497550185025,9
497550195023,14
497550205023,5
497550235027,2
497550235028,2
497550245027,3
497550245028,8
497550245029,1
497550255027,3
497550255028,31
497550265026,2
497550265027,8
497550265028,15
497550275027,1
497550275028,12
497550275029,1
497649904994,1
497649904995,2
497649904997,1
497649914994,2
497649914995,6
497649914996,4
497649914997,9
497649914998,1
497650175023,6
497650175024,8
497650185023,3
497650185024,5
497650195023,12
497650195024,6
497650205024,1
497650225028,3
497650225029,2
497650235027,5
497650235028,9
497650235029,2
497650245027,4
497650245028,6
497650255028,4
497650255034,1
497650255035,3
497650265028,7
497650265029,3
497650265034,2
497650275028,6
497650275029,5
497749904995,1
497749904997,1
497749914995,2
497749914996,1
497749914997,4
497749924995,2
497749924996,1
497750185024,1
497750225034,3
497750235027,3
497750235028,4
497750235029,5
497750235033,1
497750235034,2
497750245026,1
497750245027,2
497750245028,4
497750245033,3
497750245034,1
497750255027,4
497750255029,1
497750255033,5
497750255034,18
497750255035,10
497750265027,1
497750265028,5
497750265029,13
497750265033,1
497750265034,13
497750275028,3
497750275029,3
497750275034,5
497750275035,1
497849894994,2
497849904993,1
497849904994,7
497849904995,1
497849914993,1
497849914994,3
497849914995,6
497849914996,2
497849924999,1
497850225034,3
497850235027,1
497850235028,5
497850235033,2
497850235034,3
497850245025,8
497850245026,2
497850245027,2
497850245028,6
497850245033,2
497850245034,2
497850255025,1
497850255026,5
497850255027,9
497850255028,4
497850255033,2
497850255034,5
497850255035,3
497850265027,9
497850265028,6
497850265034,5
497850275027,13
497850275028,2
497850275032,2
497850275033,6
497850275034,4
497850275035,2
497850285027,5
497850285028,3
497850285029,7
497850285030,1
497850285032,2
497850285033,3
497850285034,4
497850285035,1
497850295029,1
497949894994,3
497949894995,1
497949894997,2
497949904993,1
497949904994,6
497949904995,3
497949904996,4
497949904997,1
497949904998,4
497949914996,1
497949914998,4
497949914999,11
497949915000,5
497949924998,4
497949924999,12
497949925000,13
497950235034,3
497950245034,5
497950255026,2
497950255034,9
497950255035,13
497950265034,2
497950265035,5
497950275027,1
497950275031,2
497950275032,3
497950275033,2
497950275034,1
497950275035,26
497950275036,2
497950285027,11
497950285028,7
497950285029,4
497950285030,10
497950285031,4
497950285032,8
497950285033,9
497950285034,8
497950285035,4
497950285037,2
497950295028,4
497950295029,1
497950295034,1
498049904996,6
498049904998,1
498049905000,1
498049914999,4
498049915000,18
498049915001,1
498049924998,3
498049924999,7
498049925000,5
498050245034,2
498050255034,6
498050255035,9
498050265035,2
498050275034,4
498050275035,4
498050275036,1
498050285034,5
498050285035,4
498050285036,5
498050285037,8
498149905001,1
498149914998,1
498149914999,3
498149915000,11
498149915001,11
498149924998,13
498149924999,22
498149925000,3
498149925001,1
498149925003,1
498149934998,3
498149935002,1
498149945003,9
498149955003,8
498149955004,3
498149965004,2
498150265038,1
498150275037,4
498150275038,9
498150275039,1
498150285035,1
498150285036,4
498150285037,9
498150285038,7
498150295036,9
498150295037,6
498150295038,21
498150305036,1
498150315035,1
498150315037,2
498150345039,1
498150355037,5
498150355038,1
498249915001,3
498249915002,6
498249915003,2
498249924998,4
498249924999,5
498249925002,10
498249925003,13
498249934998,14
498249934999,9
498249935001,1
498249935002,17
498249935003,7
498249944999,5
498249945000,1
498249945001,1
498249945002,3
498249945003,18
498249955003,8
498249965004,1
498250265038,2
498250275037,1
498250275038,10
498250275039,4
498250285035,3
498250285036,3
498250285037,7
498250285038,9
498250295035,16
498250295036,16
498250295037,26
498250295038,16
498250295039,1
498250305036,2
498250305037,8
498250305038,4
498250315034,4
498250315035,12
498250315036,15
498250315037,4
498250315038,2
498250325034,1
498250345038,7
498250345039,4
498250355037,14
498250355038,6
498250355039,8
498250365037,2
498250365038,3
498250365039,5
498349915000,1
498349915001,8
498349915002,12
498349915003,12
498349924999,4
498349925000,3
498349925001,2
498349925002,10
498349925003,8
498349934998,4
498349934999,27
498349935000,26
498349935001,3
498349935002,2
498349935003,6
498349944999,9
498349945000,12
498349945001,8
498349945003,4
498350285035,1
498350285037,1
498350285038,4
498350295035,2
498350295036,4
498350295037,23
498350295038,19
498350295039,3
498350305036,9
498350305037,9
498350315035,16
498350315036,10
498350315037,11
498350315038,6
498350325034,4
498350325035,3
498350325036,4
498350325037,7
498350325038,3
498350335035,4
498350335036,1
498350335037,4
498350335038,2
498350345037,4
498350345038,18
498350345039,8
498350345040,14
498350355037,2
498350355038,12
498350355039,8
498350355040,7
498350365038,3
498350365039,2
498350365041,2
498350365042,1
