time,n_atom,itr,type
46201854.70581055,9000,4,segmented_traversal
23828832.626342773,9000,1,implicit_force_matrix
23783456.802368164,9000,2,implicit_force_matrix
23895872.116088867,9000,3,implicit_force_matrix
23795007.705688477,9000,4,implicit_force_matrix
46728862.76245117,9000,1,explicit_force_matrix
46623550.41503906,9000,2,explicit_force_matrix
46702590.94238281,9000,3,explicit_force_matrix
46692127.2277832,9000,4,explicit_force_matrix
2612143162.0,10000,1,cpu
2599271122.0,10000,2,cpu
2607461440.0,10000,3,cpu
2637882465.0,10000,4,cpu
60046337.12768555,10000,1,segmented_traversal
59888641.357421875,10000,2,segmented_traversal
59668479.919433594,10000,3,segmented_traversal
59676673.889160156,10000,4,segmented_traversal
29279903.411865234,10000,1,implicit_force_matrix
27125759.12475586,10000,2,implicit_force_matrix
29358272.552490234,10000,3,implicit_force_matrix
29216192.2454834,10000,4,implicit_force_matrix
56040287.017822266,10000,1,explicit_force_matrix
56112129.21142578,10000,2,explicit_force_matrix
55968448.638916016,10000,3,explicit_force_matrix
55966400.146484375,10000,4,explicit_force_matrix
